name,gender,ratio,females,males,total
Michael,M,100,1963,433277,435240
James,M,100,1391,342651,344042
David,M,100,1139,330092,331231
John,M,100,1095,320621,321716
Robert,M,100,1206,304120,305326
William,M,100,855,253873,254728
Christopher,M,100,878,212847,213725
Joseph,M,100,669,192446,193115
Daniel,M,100,709,184348,185057
Thomas,M,100,529,174112,174641
Mary,F,100,167932,499,168431
Richard,M,100,572,167707,168279
Matthew,M,100,468,166568,167036
Jennifer,F,100,150325,482,150807
Mark,M,100,452,141477,141929
Charles,M,100,632,140054,140686
Anthony,M,100,621,138616,139237
Joshua,M,100,480,135633,136113
Linda,F,100,132736,295,133031
Steven,M,100,457,132195,132652
Andrew,M,100,363,127442,127805
Kevin,M,100,502,124361,124863
Elizabeth,F,100,123412,360,123772
Brian,M,100,468,119256,119724
Timothy,M,100,437,111943,112380
Jason,M,100,502,108834,109336
Jessica,F,100,106044,313,106357
Jacob,M,100,211,105659,105870
Patricia,F,100,104588,307,104895
Susan,F,100,100703,227,100930
Jeffrey,M,100,386,100543,100929
Ryan,M,97,2596,98108,100704
Nicholas,M,100,277,97105,97382
Lisa,F,100,96700,306,97006
Eric,M,100,454,95885,96339
Paul,M,100,341,95899,96240
Kenneth,M,100,372,94889,95261
Sarah,F,100,94168,212,94380
Kimberly,F,100,92119,387,92506
Jonathan,M,100,314,92162,92476
Justin,M,100,389,89866,90255
Karen,F,100,89076,229,89305
Michelle,F,100,87901,343,88244
Amanda,F,100,86377,204,86581
Emily,F,100,85607,160,85767
Ashley,F,98,81686,1537,83223
Melissa,F,100,82734,274,83008
Stephen,M,100,259,80944,81203
Scott,M,100,255,79911,80166
Barbara,F,100,79228,176,79404
Ronald,M,100,283,78349,78632
Benjamin,M,100,223,77562,77785
Stephanie,F,100,77138,262,77400
Gary,M,100,267,76476,76743
Donald,M,100,260,75657,75917
Brandon,M,100,314,73764,74078
Alexander,M,99,452,73610,74062
Sandra,F,100,73239,212,73451
Gregory,M,100,255,72795,73050
